Features,Importance
caa,-0.2753739739479561
age,-0.08808595696311557
slp,-0.06388262182941964
thall,0.012638517146320121
cp,0.027390305406623974
exng,0.03229851257012022
fbs,0.055711083936719044
thalachh,0.06451267422294774
restecg,0.08272902622416264
oldpeak,0.11779065916161228
trtbps,0.20942749406860514
sex,0.29825190987996786
chol,0.6088180310787751
