O*NET-SOC Code,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Change in Employment
13-2071,3.88,4.0,3.75,4.0,3.0,0.0,3.88,3.5,3.12,3.0,3.62,3.12,3.5,3.25,3.0,3.5,3.25,1.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,3.25,3.0,2.75,3.12,0.75,0.25,2.62,2510.0
13-2072,4.0,4.0,3.88,4.0,3.12,0.0,4.0,3.12,2.62,3.0,3.0,3.0,3.0,3.0,2.75,3.5,3.12,1.38,0.88,0.0,0.0,0.88,0.88,0.38,0.0,0.0,0.0,0.62,3.88,2.38,2.25,3.25,1.25,1.12,2.88,7790.0
13-2081,4.12,4.0,3.25,3.75,3.25,0.0,3.62,3.62,3.0,2.88,3.0,3.0,3.12,3.0,2.75,3.0,3.0,1.5,0.5,0.0,0.0,0.88,0.75,0.12,0.0,0.0,0.0,1.12,3.38,2.38,2.5,2.75,1.38,0.75,1.88,-9880.0
13-2082,4.0,4.0,3.0,3.5,3.25,0.0,3.62,3.12,3.0,3.0,2.88,2.88,2.5,2.62,3.0,3.12,3.0,0.88,0.5,0.0,0.0,0.62,0.38,0.0,0.0,0.0,0.0,1.12,3.0,2.75,2.25,3.0,0.88,0.5,1.75,-1920.0
15-2011,4.62,4.12,4.0,4.0,4.88,2.0,4.75,4.12,3.5,3.62,2.88,3.0,3.62,3.12,3.5,3.12,4.62,3.38,1.0,0.0,0.0,2.75,1.25,0.0,0.0,0.0,0.0,1.75,4.75,4.5,4.5,3.5,3.38,2.25,2.88,770.0
15-2021,5.0,4.12,4.5,4.25,6.0,4.62,5.12,5.25,3.75,3.0,2.75,2.75,2.5,1.75,3.75,1.75,4.88,2.62,0.75,0.0,0.0,2.62,0.75,0.0,0.0,0.0,0.0,0.5,4.25,3.88,3.5,2.75,0.75,0.75,1.75,-500.0
15-2031,4.38,4.0,4.0,4.0,4.75,3.12,4.38,4.12,3.12,3.0,3.0,2.88,2.88,2.62,3.12,2.5,4.38,4.38,1.38,0.12,0.0,2.75,0.62,0.0,0.0,0.38,0.0,1.62,4.25,4.0,4.38,3.0,1.38,0.88,2.62,12730.0
15-2041,5.0,4.0649999999999995,4.63,4.375,5.4350000000000005,4.3100000000000005,4.88,4.38,3.5,3.37,2.815,2.94,2.815,2.125,3.56,2.315,4.3100000000000005,3.44,0.875,0.31,0.0,3.81,0.815,0.185,0.0,0.0,0.0,1.185,4.13,3.5,3.435,3.19,1.25,1.0,2.75,12120.0
17-1011,4.75,4.25,4.12,4.0,4.12,3.0,4.5,4.12,3.12,4.38,3.25,4.0,3.5,3.5,2.88,3.38,4.25,4.38,2.0,0.25,0.0,1.25,2.0,1.75,0.0,1.5,0.0,3.25,4.5,3.62,3.75,3.62,3.38,3.0,3.5,16950.0
17-1012,4.0,4.0,3.88,4.0,3.12,2.88,3.88,3.75,3.0,3.5,3.88,3.88,3.5,3.0,3.0,3.12,3.75,3.75,1.12,0.0,0.0,0.75,2.0,1.62,0.0,1.12,0.0,2.12,3.75,3.38,3.75,3.75,2.88,2.88,3.12,2170.0
17-1021,4.12,3.5,3.62,3.12,3.12,1.5,3.75,3.38,3.0,3.12,2.88,3.0,2.12,2.12,3.0,2.75,3.12,0.75,0.75,1.0,0.0,1.12,1.75,0.38,0.5,1.38,0.38,2.12,3.12,2.88,2.75,3.12,0.75,0.62,2.12,-310.0
17-1022,4.1899999999999995,3.94,3.935,3.88,4.375,3.25,4.0,3.63,3.5,3.69,2.875,3.435,2.63,2.565,3.435,2.56,3.565,1.815,1.125,2.25,0.0,2.25,2.75,2.685,1.685,1.75,1.62,2.94,3.435,3.125,3.125,3.56,1.69,1.88,3.625,3250.0
17-2011,5.0,4.12,4.5,4.25,4.75,5.12,4.62,3.88,3.75,3.88,3.12,3.5,3.12,3.0,3.25,2.75,4.25,5.0,3.75,0.38,0.0,1.75,3.0,0.62,0.0,2.5,0.0,3.88,3.88,4.0,3.88,3.5,1.38,1.0,3.0,-5880.0
17-2021,4.62,4.0,4.25,4.0,4.0,3.38,4.25,3.88,3.12,3.75,3.25,3.25,3.12,3.0,3.25,3.0,4.38,3.25,3.0,1.38,0.0,1.62,3.25,2.25,0.88,2.12,0.75,2.5,4.0,3.88,3.88,3.62,2.38,2.62,3.0,-900.0
17-2031,5.12,4.38,4.25,4.38,4.62,4.62,4.75,4.75,4.12,4.12,3.5,3.5,3.5,3.0,4.0,3.12,4.62,4.38,4.0,2.75,2.88,3.5,3.38,2.0,2.88,3.38,2.62,3.75,4.75,3.88,4.0,3.62,2.25,2.88,3.25,-300.0
17-2041,4.38,4.0,3.88,3.88,4.62,5.12,4.88,4.5,3.62,3.88,3.12,3.62,3.12,3.0,3.38,3.0,4.38,4.5,3.12,2.38,0.0,2.88,3.5,1.62,0.0,3.5,0.0,3.62,4.5,4.0,4.25,3.75,2.75,2.88,3.5,-3350.0
17-2061,4.5,3.88,4.12,4.0,3.38,3.25,4.12,4.12,3.12,3.25,2.75,3.12,2.75,2.12,3.5,2.75,4.12,4.0,2.75,2.75,1.12,2.75,3.0,0.75,2.12,3.12,2.12,3.0,3.88,3.5,4.0,3.0,1.25,1.5,2.62,-8480.0
17-2071,4.25,4.0,3.88,3.75,4.0,3.5,4.0,3.38,3.0,3.5,3.12,3.25,2.88,2.88,3.0,3.0,3.75,3.25,2.0,1.88,0.12,1.5,3.0,0.12,2.0,3.0,2.38,2.88,3.25,3.25,3.38,3.25,2.5,2.62,3.0,11020.0
17-2072,4.0600000000000005,3.81,3.81,3.81,3.5,2.5,3.94,3.625,3.185,3.685,3.06,3.315,3.19,2.935,3.31,2.94,3.87,3.19,3.12,2.75,1.435,2.75,3.19,2.685,2.5,3.06,2.625,3.375,3.44,3.69,3.625,2.94,2.06,2.19,2.815,-5190.0
17-2081,4.62,4.12,4.12,4.25,4.0,3.62,4.25,4.12,3.12,4.25,3.25,4.0,3.38,3.25,3.12,2.75,4.12,2.38,0.75,0.0,0.0,1.12,2.88,1.75,0.0,1.5,0.0,2.88,4.25,3.88,4.0,3.88,2.38,2.38,3.0,-90.0
